Замер;Напряжение, В;Сила тока, А;Температура, °С;Мощность, Вт;Плотность ТП, Вт/м2
regstat1;2,13;4,7;;10,011;10627,38854
regstat2;1,9;4,2;;7,98;8471,33758
regstat3;1,68;3,7;;6,216;6598,726115
regstat4;1,5;3,2;;4,8;5095,541401
regstat5;1,33;2,9;;3,857;4094,47983
regstat6;1,11;2,4;;2,664;2828,025478
regstat7;1,025;2,15;;2,20375;2339,437367
regstat8;0,9;2,05;;1,845;1958,598726
regstat9;2,52;5,85;;14,742;15649,68153
regstat10;3,02;6,7;;20,234;21479,83015
regstat11;3,5;7,8;;27,3;28980,89172
regstat12;4;8,95;;35,8;38004,24628
regstat13;4,52;10,2;;46,104;48942,67516
