Замер;D mean, mkm;Напряжение, В;Сила тока, А;Температура, °С;Мощность, Вт;Плотность
regstat1;389;1,523;14,4;;21,9312;7760,509554
regstat2;478;1,95;23;;44,85;15870,48832
regstat3;560;2,555;37;;94,535;33451,87544
regstat4;1002;3;54;;162;57324,84076
regstat5;1170;3,49;69;;240,81;85212,31423
regstat6;542;2,24;23,3;;52,192;18468,50672
regstat7;825;2,72;41;;111,52;39462,1373
regstat8;1168;3,25;67,2;;218,4;77282,37792
regstat9;647;2,267;32,6;;73,9042;26151,52159
regstat10;822;2,54;41,3;;104,902;37120,31139
