Замер;Напряжение, В;Сила тока, А;Мощность, Вт;Плотность ТП, Вт/м2
regstat1;3,86;7,8;30,108;31961,78344
regstat2;3,97;8,6;34,142;36244,16136
regstat3;4,25;9,3;39,525;41958,59873
regstat4;4,55;9,3;42,315;44920,38217
regstat5;4,97;10;49,7;52760,08493
regstat6;5,52;11,7;64,584;68560,50955
regstat7;6,05;13,2;79,86;84777,07006
regstat8;6,53;13,8;90,114;95662,42038
regstat9;6,98;14,9;104,002;110405,5202
regstat10;7,6;16;121,6;129087,0488
regstat11;9,11;19,3;175,823;186648,62
regstat12;10,54;22,5;237,15;251751,5924
regstat13;12,01;25,9;311,059;330211,2527
regstat14;12,97;28,3;367,051;389650,7431
;;;;
;;;;
;;;;
T = 97,2;;;;
Площадь;0,000942;;;
