Bubble1;;Bubble2;;Bubble5;;Bubble6;;Bubble7;;Bubble10;
t;d;t;d;t;d;t;d;t;d;t;d
0;353;0;471;0;353;0;294;0;353;0;471
125;471;125;588;125;529;125;588;125;588;125;588
250;588;250;824;250;706;250;647;250;824;250;706
375;706;375;941;375;765;375;824;375;941;375;824
500;765;500;941;500;882;500;941;500;1059;500;824
625;824;625;1059;625;882;625;1059;625;1118;625;941
750;824;750;1176;750;941;750;1059;750;1176;750;1000
875;941;875;1176;875;1000;875;1176;875;1294;875;1059
1000;941;1000;1235;1000;1118;1000;1294;1000;1353;1000;1059
1125;1000;1125;1235;1125;1118;1125;1294;1125;1353;1125;1176
1250;1059;1250;1294;1250;1176;1250;1353;1250;1412;1250;1176
1375;1059;1375;1294;1375;1235;1375;1353;1375;1471;1375;1235
1500;1059;1500;1353;1500;1235;1500;1471;1500;1529;1500;1235
1625;1118;1625;1353;1625;1294;1625;1471;1625;1529;1625;1235
1750;1118;1750;1353;1750;1353;1750;1471;1750;1529;1750;1235
1875;1176;1875;1412;1875;1353;1875;1529;1875;1588;1875;1235
2000;1176;2000;1412;2000;1353;2000;1529;2000;1647;2000;1294
2125;1235;2125;1471;2125;1353;2125;1529;2125;1647;2125;1294
2250;1235;2250;1471;2250;1412;2250;1647;2250;1647;2250;1353
2375;1235;2375;1529;2375;1471;2375;1647;2375;1647;2375;1353
2500;1235;2500;1529;2500;1471;2500;1647;2500;1706;2500;1353
2625;1235;2625;1529;2625;1471;2625;1647;2625;1706;2625;1353
2750;1235;2750;1529;2750;1471;2750;1647;2750;1706;2750;1353
2875;1294;2875;1529;2875;1471;2875;1765;2875;1765;2875;1412
3000;1294;3000;1529;3000;1471;3000;1765;3000;1765;3000;1412
3125;1294;3125;1529;3125;1471;3125;1765;3125;1765;3125;1412
3250;1294;3250;1529;3250;1529;3250;1765;3250;1765;3250;1412
3375;1294;3375;1588;3375;1588;3375;1765;3375;1824;3375;1412
3500;1294;3500;1588;3500;1588;3500;1824;3500;1824;3500;1412
3625;1294;3625;1588;3625;1588;3625;1824;3625;1824;3625;1471
3750;1294;3750;1647;3750;1588;3750;1824;3750;1824;3750;1471
3875;1353;3875;1647;3875;1588;3875;1882;3875;1882;3875;1471
4000;1353;4000;1647;4000;1588;4000;1882;4000;1882;4000;1471
4125;1353;4125;1647;4125;1588;4125;1882;4125;1882;4125;1471
;;4250;1647;4250;1588;4250;1882;;;4250;1471
;;4375;1647;4375;1588;4375;1882;;;4375;1471
;;4500;1647;4500;1588;4500;1882;;;4500;1529
;;4625;1647;4625;1588;4625;1882;;;4625;1529
;;4750;1647;4750;1588;4750;1882;;;4750;1529
;;4875;1647;4875;1588;4875;1882;;;;
;;;;5000;1588;5000;1882;;;;
;;;;5125;1588;5125;1941;;;;
;;;;5250;1588;;;;;;
;;;;5375;1647;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
