regstat2;regstat7;regstat13
735.6;3577.8;11093.1
966.4;1530.7;3879.2
1058.5;716.2;762.7
1339.9;1940.5;996.6
1103.1;3368.3;472.8
1596.4;2179;8325.1
1172.5;563.2;2728.3
1762.5;1866.6;5351.3
670.5;1225.9;706.7
1694.4;2767.9;1899.5
958.8;853.3;793.7
987.4;1114;7037.6
1221.7;2059.2;420.9
828;1555.9;6820.7
1368.5;890.3;709.6
1999.8;555.1;546.7
1343.2;2663.1;858.7
829.4;2245.4;402
678.2;1794.7;1547.8
673.2;1868.6;700.9
530.2;2186.1;1307
1458.5;646.1;311.6
1797.7;4006.5;166.1
1482.9;391.6;9602.9
2322.4;1935;2643.9
1192.1;804.8;428.6
2062.3;4138.7;8093
599.3;3358.7;673.2
662;552.3;1866
1230.8;2284.6;732
1260.7;478.5;3975.1
794.8;760.9;6827
1721;238.3;6821.3
2062.6;308.9;1495.5
935.1;858.4;483.4
1030.4;1273.4;7143.7
777.2;2339.1;771.9
1312.9;1388.4;7348.6
450.2;187.5;1345.7
1570.7;3855.7;1399.8
374.1;536.8;159.3
737.9;1362.5;389.9
1525.4;1499.1;642.6
1605.2;2158;7872.3
1542.7;3218.3;1837.6
1365.8;1373.6;679.1
654.8;609.4;6707.6
1960.6;734.1;6851.1
1239.4;1657;3503.3
1540.6;1139.3;11655.7
359.4;875.2;1709.9
1892;3051.7;6823.7
1406.9;533.7;434.8
1722.1;2219.6;7217.1
1139.8;1838;1322.6
1326;1339;1361.5
1113.4;3777.5;1630.9
1082.7;2580.6;3556.5
1405.8;1953.5;845
1056.3;3921.7;1157.8
1381.3;1610.5;323.2
1036;1319.8;965.7
1007.9;1339.9;8434.4
685.3;1593.9;6752.3
893.9;898.1;6786.6
1024.7;1395.3;1806.6
1706.1;228.2;652
1089.5;854.9;3616.3
1516;388;11547.2
617.2;760.6;1662.7
957;326.7;6510.6
985.3;3149.2;394.5
1072.2;702.3;1188.9
1347.6;1215.8;427.9
1212.7;630.2;3244.4
1507.2;2101.2;758.8
1780.5;1411.8;1065.8
2244.3;1848.9;545.2
579.2;2895.7;926.6
630.5;543.6;548.2
2392.1;2893.7;957.1
1260.1;1006.8;6660.6
530.1;1468.5;6458.4
460.8;177.9;1796.2
2125.8;347.3;613.6
1236.1;762.6;11506.3
1120.9;1143.3;9944.1
1132.4;1572.3;3698.7
586.6;3107.6;6637.4
1572.1;282.3;6690
783;792.4;8410.2
459.5;2908.4;1104
760.7;3582.9;871.1
2066.9;1129;3292.6
615.9;1901.3;1144.6
1975.7;379;326.3
174.4;730.5;716.9
833.7;1541.2;534.5
588.1;1447.9;282.9
1479.4;3278.7;516.7
1588.5;779.4;1598.6
1497.6;366.9;378.6
1236.4;2131.5;323.8
411;1944.8;825.4
1126.5;1329.1;154.3
1849.7;1268.1;268.6
1035.6;629.3;1383.1
1860.4;852.1;1174.7
1945;1195.5;385.4
1375.1;160.3;908
1252.8;2090.8;1789.4
950.4;507.4;16252.7
1007.6;1496.1;3774.9
927.7;1411.4;7271.4
2640.6;963.3;882.8
1293.4;1314.6;3183.8
1394.5;1111.3;980.8
924.1;160.9;951.1
380.1;807.5;6905.1
658.8;193.5;460.1
1031.2;529.2;238
1425.1;822.6;417.8
726.5;2163.4;2308.6
1663.4;1963.6;4206.5
1226.5;1019.7;6620.1
1165.2;1466.8;690.7
447.9;870.1;1113.7
993.3;2352.7;1350.4
991.7;1792.8;447.8
1580.9;488.1;275.6
891.5;4301.2;812.6
907.1;4037.7;293.5
558.6;609.7;258.8
1277;337.2;1482.4
224.6;3241.1;220.4
1034.4;752;374.4
1424.4;2085.7;11332.8
713.5;561.5;1754.8
1284.6;502.5;3704.7
1717.3;1387.1;1300.1
1718;3255.9;3417.5
2249.7;1252.9;6294.8
764;232.3;829
1120.1;731.7;919.5
502.8;426.5;353.9
2176.7;1194.8;896.5
1124.6;815.9;2324
560.2;1555;293.8
454.6;3409.8;1558.9
389.1;1412.1;1133.1
1024;3762.4;559.6
1793.9;1025.3;795.1
2144.7;4011.1;381.2
615.4;477.5;1353.4
555.7;1866.5;285
1534.8;2124.9;1346.4
736.8;611.2;1274.7
512.4;1259.7;3767.4
1157.8;3420.6;6090
1456.6;1350.3;505.8
1468.5;1209.4;10816.5
1329.3;1217.1;3034.8
1209.6;1286.5;807.8
968.1;2794.6;900.8
1035.3;1721.5;2313.5
1764.7;1420.5;858.7
389;1511.2;7403.8
771.9;843.7;6846.2
1766.7;1448.1;1589.3
1991.5;2221;7610
918.6;3196.7;772.8
1216.2;1638.5;484.6
1309.4;812.9;4664.5
803.6;664.8;1341
1239.3;2009.8;811.3
1336.5;296.2;314.8
2556.2;1761.4;386.4
797.5;1935;340.8
513.7;2977.1;269.4
1033.5;2908.1;1296.9
1079.2;574.6;3526.8
1771.7;2121.9;3106.3
616.1;1119.5;6677.9
1705.3;746.5;747.6
1457.8;689.6;832.3
1526.1;1058.9;7304.6
1989.4;2919.7;2400.6
