Эксперимент по исследованию роста пузыря;;;;;;;Эксперимент по сбору статистических данных;;;;;
Замер;Сила тока, А;Напряжение, В;Температура, °С;Мощность, Вт;Плотность ТП, Вт/м2;;Замер;Сила тока, А;Напряжение, В;Температура, °С;Мощность, Вт;Плотность ТП, Вт/м2
reg1;31,6;2,647;99,3;83,6452;29598,44303;;regstat1;27,2;2,65;99,4;72,08;25506,01557
reg2;36,1;2,768;99,3;99,9248;35359,09413;;regstat2;36,2;2,76;99,3;99,912;35354,56476
reg3;38,6;2,847;99,3;109,8942;38886,83652;;regstat3;41,3;2,86;99,4;118,118;41796,88606
reg4;50,3;2,956;99,3;148,6868;52613,8712;;regstat4;44,7;2,96;99,4;132,312;46819,53291
reg5;54,4;3,067;99,3;166,8448;59039,20736;;regstat5;50,8;3,13;99,4;159,004;56264,68507
reg6;58,2;3,17;99,3;184,494;65284,50106;;regstat6;54;3,26;99,4;176,04;62292,99363
reg7;61,7;3,28;99,4;202,376;71612,17268;;regstat7;57,4;3,36;99,4;192,864;68246,2845
reg8;63,9;3,37;99,3;215,343;76200,63694;;regstat8;60;3,46;99,4;207,6;73460,72187
reg9;66;3,472;99,4;229,152;81087,04883;;regstat9;63,4;3,56;99,4;225,704;79866,94975
reg10;70,7;3,577;99,4;252,8939;89488,28733;;regstat10;70,3;3,66;99,4;257,298;91046,70913
reg11;75,4;3,7;99,4;278,98;98719,03751;;regstat11;73,8;3,79;99,4;279,702;98974,52229
reg12;80;3,86;99,3;308,8;109271,0545;;regstat12;80,4;3,9;99,4;313,56;110955,414
reg13;93,5;3,99;99,3;373,065;132011,6773;;regstat13;4,52;4,1;99,4;18,532;6557,678698
reg14;86,7;4,1;99,3;355,47;125785,5626;;regstat14;84;4,2;99,4;352,8;124840,7643
reg15;92;4,22;99,3;388,24;137381,4579;;regstat15;88,8;4,347;99,5;386,0136;136593,6306
reg16;100,5;4,49;99,2;451,245;159676,2208;;regstat16;94,7;4,47;99,5;423,309;149790,8705
;;;;;;;;;;;;
Площадь поверхности, м2;;0,002826;;;;;;;;;;
