Bubble1;;Bubble3;;Bubble8;;Bubble10;;Bubble12;;Bubble16;
t;d;t;d;t;d;t;d;t;d;t;d
167;489;167;534;167;253;167;545;167;219;167;603
333;517;333;635;333;409;333;626;333;502;333;883
500;584;500;720;500;613;500;676;500;681;500;1074
667;674;667;771;667;824;667;700;667;838;667;1235
833;689;833;818;833;900;833;878;833;979;833;1341
1000;717;1000;829;1000;989;1000;946;1000;1111;1000;1429
1167;725;1167;907;1167;1122;1167;1002;1167;1185;1167;1498
1333;779;1333;960;1333;1174;1333;1069;1333;1273;1333;1577
1500;777;1500;975;1500;1226;1500;1122;1500;1336;1500;1636
1667;854;1667;1007;1667;1247;1667;1218;1667;1403;1667;1682
1833;877;1833;1034;1833;1313;1833;1341;1833;1459;1833;1725
2000;869;2000;1036;2000;1309;2000;1401;2000;1550;2000;1790
2167;900;2167;1036;2167;1374;2167;1460;2167;1605;2167;1814
2333;909;2333;1044;2333;1390;2333;1480;2333;1663;2333;1843
2500;911;2500;1052;2500;1438;2500;1537;2500;1702;2500;1885
2667;955;2667;1059;2667;1462;2667;1553;2667;1773;2667;1941
2833;966;2833;1075;2833;1499;2833;1573;2833;1809;2833;1960
3000;976;3000;1086;3000;1533;3000;1600;3000;1848;3000;1970
3167;981;3167;1116;3167;1564;3167;1647;3167;1898;3167;1979
3333;1016;3333;1130;3333;1578;3333;1666;3333;1938;3333;2000
3500;1028;3500;1134;3500;1603;3500;1685;3500;1977;3500;2022
3667;1057;3667;1136;3667;1625;3667;1724;3667;2012;3667;2060
3833;1052;3833;1159;3833;1650;3833;1734;3833;2045;3833;2089
4000;1082;4000;1172;4000;1650;4000;1776;4000;2076;4000;2100
4167;1095;4167;1167;4167;1679;4167;1785;4167;2129;4167;2139
4333;1095;4333;1186;4333;1692;4333;1801;4333;2146;4333;2153
4500;1096;4500;1196;4500;1704;4500;1810;4500;2169;4500;2186
4667;1113;4667;1217;4667;1715;4667;1817;4667;2204;4667;2201
4833;1117;4833;1233;4833;1730;4833;1839;4833;2222;4833;2217
5000;1138;5000;1258;5000;1737;5000;1849;5000;2259;5000;2234
5167;1135;5167;1267;5167;1757;5167;1879;5167;2276;5167;2252
5333;1160;5333;1294;5333;1774;5333;1895;5333;2297;;
5500;1181;5500;1298;5500;1780;5500;1956;5500;2331;;
5667;1198;5667;1322;5667;1810;5667;1973;5667;2351;;
5833;1225;5833;1344;5833;1827;5833;1986;5833;2391;;
6000;1224;6000;1358;6000;1838;6000;2001;6000;2409;;
6167;1252;6167;1365;6167;1845;6167;2031;6167;2412;;
6333;1269;6333;1374;6333;1867;6333;2064;6333;2446;;
6500;1284;6500;1388;6500;1878;6500;2101;6500;2448;;
6667;1282;6667;1384;6667;1887;6667;2147;6667;2488;;
6833;1324;6833;1390;6833;1910;6833;2181;6833;2500;;
7000;1338;7000;1396;7000;1923;7000;2205;7000;2503;;
7167;1336;7167;1399;7167;1920;7167;2211;7167;2504;;
7333;1352;7333;1417;7333;1941;7333;2273;7333;2507;;
7500;1364;7500;1431;7500;1948;7500;2297;;;;
7667;1382;7667;1450;7667;1957;7667;2317;;;;
7833;1387;7833;1473;7833;1963;7833;2325;;;;
8000;1384;8000;1466;8000;1980;8000;2336;;;;
;;8167;1488;8167;1997;8167;2336;;;;
;;8333;1507;8333;2007;8333;2390;;;;
;;8500;1520;8500;2026;8500;2412;;;;
;;8667;1533;8667;2048;8667;2422;;;;
;;8833;1542;8833;2058;8833;2312;;;;
;;9000;1568;9000;2069;9000;2312;;;;
;;9167;1563;9167;2097;9167;2337;;;;
;;9333;1581;9333;2124;9333;2417;;;;
;;9500;1583;9500;2155;9500;2417;;;;
;;9667;1588;9667;2176;9667;2431;;;;
;;9833;1618;9833;2216;9833;2412;;;;
;;10000;1636;10000;2223;10000;2444;;;;
;;10167;1658;10167;2253;10167;2509;;;;
;;10333;1680;10333;2260;;;;;;
;;10500;1680;10500;2292;;;;;;
;;10667;1688;10667;2303;;;;;;
;;10833;1695;10833;2313;;;;;;
;;11000;1721;11000;2313;;;;;;
;;11167;1731;11167;2317;;;;;;
;;11333;1754;11333;2317;;;;;;
;;11500;1786;11500;2325;;;;;;
;;11667;1789;11667;2325;;;;;;
;;11833;1795;11833;2350;;;;;;
;;12000;1805;12000;2363;;;;;;
;;12167;1819;12167;2363;;;;;;
;;12333;1824;12333;2376;;;;;;
;;12500;1843;12500;2376;;;;;;
;;12667;1835;;;;;;;;
;;12833;1847;;;;;;;;
;;13000;1876;;;;;;;;
;;13167;1877;;;;;;;;
;;13333;1886;;;;;;;;
;;13500;1899;;;;;;;;
;;13667;1899;;;;;;;;
;;13833;1917;;;;;;;;
